SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-18-2017,Townhouse,641 Emerson St NE,Washington,DC,20017,515000,2,2.0,Brookland,1224,1655,1948,30,421,,Sold,,,http://www.redfin.com/DC/Washington/641-Emerson-St-NE-20017/home/10084386,MRIS,DC10023290,N,Y,38.9498761,-76.9975249
PAST SALE,August-31-2017,Townhouse,2032 E St NE,Washington,DC,20002,549000,2,1.5,Old City #1,900,833,1939,48,610,,Sold,,,http://www.redfin.com/DC/Washington/2032-E-St-NE-20002/home/10113346,MRIS,DC9984093,N,Y,38.896244,-76.975184
PAST SALE,,Multi-Family (2-4 Unit),606 19th St NE,Washington,DC,20002,357500,2,2.0,,1120,1131,1950,,319,,,,,http://www.redfin.com/DC/Washington/606-19th-St-NE-20002/home/10113620,,,N,Y,38.8970648,-76.9771641
PAST SALE,September-26-2017,Townhouse,4341 F St SE,Washington,DC,20019,330000,2,2.0,Fort Dupont Park,832,2173,1950,22,397,,Sold,,,http://www.redfin.com/DC/Washington/4341-F-St-SE-20019/home/10139907,MRIS,DC10036673,N,Y,38.881599,-76.9418584
PAST SALE,September-15-2017,Townhouse,3354 Baker St NE,Washington,DC,20019,200000,2,1.5,Lily Ponds,832,1671,1940,33,240,,Sold,,,http://www.redfin.com/DC/Washington/3354-Baker-St-NE-20019/home/10116331,MRIS,DC10033090,N,Y,38.8929749,-76.9581498
PAST SALE,September-20-2017,Townhouse,1917 T St SE,Washington,DC,20020,265000,2,1.5,Randle Heights,900,2500,1939,28,294,,Sold,,,http://www.redfin.com/DC/Washington/1917-T-St-SE-20020/home/10150125,MRIS,DC10034642,N,Y,38.8672864,-76.9766213
PAST SALE,,Townhouse,1805 L St NE,Washington,DC,20002,375000,2,1.0,,840,1440,1926,,446,,,,,http://www.redfin.com/DC/Washington/1805-L-St-NE-20002/home/10111056,,,N,Y,38.903489,-76.977835
PAST SALE,July-24-2017,Vacant Land,1411 Young St SE,Washington,DC,20020,149000,,,Anacostia,,3900,,86,,,Sold,,,http://www.redfin.com/DC/Washington/1411-Young-St-SE-20020/home/10146776,MRIS,DC9727566,N,Y,38.873555,-76.976666
PAST SALE,July-29-2017,Townhouse,5524 Bass Pl SE,Washington,DC,20019,172000,2,1.0,Marshall Heights,800,2911,1947,81,215,,Sold,,,http://www.redfin.com/DC/Washington/5524-Bass-Pl-SE-20019/home/10133368,MRIS,DC9773281,N,Y,38.8849329,-76.921193
PAST SALE,August-25-2017,Single Family Residential,710 32nd St SE,Washington,DC,20019,290000,2,1.0,Hill Crest,1472,2644,1923,54,197,,Sold,,,http://www.redfin.com/DC/Washington/710-32nd-St-SE-20019/home/10142792,MRIS,DC10005572,N,Y,38.879734,-76.961107
PAST SALE,September-1-2017,Townhouse,3012 22nd St SE,Washington,DC,20020,305000,2,2.0,Randle Heights,1144,1528,1951,47,267,,Sold,,,http://www.redfin.com/DC/Washington/3012-22nd-St-SE-20020/home/10160383,MRIS,DC9996456,N,Y,38.853644,-76.973912
PAST SALE,September-15-2017,Townhouse,237 14th Pl NE,Washington,DC,20002,620000,2,1.5,Capitol Hill,980,1088,1915,33,633,,Sold,,,http://www.redfin.com/DC/Washington/237-14th-Pl-NE-20002/home/9916546,MRIS,DC10026073,N,Y,38.8930025,-76.9843395
PAST SALE,September-25-2017,Townhouse,242 14th Pl NE,Washington,DC,20002,720000,2,2.5,Old City #1,1260,1740,1900,23,571,,Sold,,,http://www.redfin.com/DC/Washington/242-14th-Pl-NE-20002/home/9916446,MRIS,DC10040649,N,Y,38.8931767,-76.9847711
PAST SALE,,Townhouse,1504 33rd St NW,Washington,DC,20007,1340000,2,2.0,,1794,828,1900,,747,,,,,http://www.redfin.com/DC/Washington/1504-33rd-St-NW-20007/home/9927821,,,N,Y,38.9089752,-77.0662419
PAST SALE,July-25-2017,Townhouse,1514 Q St NW #3,Washington,DC,20009,1198000,2,2.0,14th St Corridor,1320,,1885,85,908,214,Sold,,,http://www.redfin.com/DC/Washington/1514-Q-St-NW-20009/unit-3/home/123161639,MRIS,DC9977577,N,Y,38.910865,-77.035301
PAST SALE,July-28-2017,Townhouse,1903 Capitol Ave NE,Washington,DC,20002,260050,2,1.0,Brentwood,1066,1152,1905,82,244,,Sold,,,http://www.redfin.com/DC/Washington/1903-Capitol-Ave-NE-20002/home/10094242,MRIS,DC9871720,N,Y,38.911702,-76.984855
PAST SALE,August-11-2017,Townhouse,231 10th St NE,Washington,DC,20002,869000,2,2.5,Old City #1,1464,1055,1910,68,594,,Sold,,,http://www.redfin.com/DC/Washington/231-10th-St-NE-20002/home/9906766,MRIS,DC9994666,N,Y,38.8928967,-76.9924083
PAST SALE,August-22-2017,Townhouse,227 Bates St NW #2,Washington,DC,20001,750000,2,2.5,Truxton Circle,1505,,1928,57,498,344,Sold,,,http://www.redfin.com/DC/Washington/227-Bates-St-NW-20001/unit-2/home/113977784,MRIS,DC9952095,N,Y,38.910572,-77.014522
PAST SALE,September-21-2017,Townhouse,433 15th St NE,Washington,DC,20002,707000,2,2.5,Capitol Hill,1688,1372,1927,27,419,,Sold,,,http://www.redfin.com/DC/Washington/433-15th-St-NE-20002/home/10114199,MRIS,DC10062692,N,Y,38.8958192,-76.9833825
PAST SALE,,Townhouse,1608 8th St NW,Washington,DC,20001,640000,2,2.0,,1124,856,1900,,569,,,,,http://www.redfin.com/DC/Washington/1608-8th-St-NW-20001/home/9878200,,,N,Y,38.91145,-77.023209
