SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-1-2017,Townhouse,417 Missouri Ave NW,Washington,DC,20011,399999,3,2.0,Brightwood,1116,1537,1920,78,358,,Sold,,,http://www.redfin.com/DC/Washington/417-Missouri-Ave-NW-20011/home/10061679,MRIS,DC9978749,N,Y,38.958234,-77.018694
PAST SALE,July-27-2017,Townhouse,539 Madison St NE,Washington,DC,20011,290000,3,1.5,Riggs Park,1088,2108,1951,83,267,,Sold,,,http://www.redfin.com/DC/Washington/539-Madison-St-NE-20011/home/10081135,MRIS,DC10019612,N,Y,38.957574,-76.997925
PAST SALE,July-27-2017,Townhouse,232 Randolph Pl NE,Washington,DC,20002,400000,3,1.5,Eckington,1156,1497,1914,83,346,,Sold,,,http://www.redfin.com/DC/Washington/232-Randolph-Pl-NE-20002/home/10075556,MRIS,DC9933250,N,Y,38.9135442,-77.0024023
PAST SALE,August-1-2017,Townhouse,437 Valley Ave SE,Washington,DC,20032,340000,3,2.0,Congress Heights,1296,2500,1948,78,262,,Sold,,,http://www.redfin.com/DC/Washington/437-Valley-Ave-SE-20032/home/10168013,MRIS,DC9988847,N,Y,38.833714,-76.9989
PAST SALE,,Townhouse,519 Tennessee Ave NE,Washington,DC,20002,344000,3,1.0,,1208,1120,1915,,285,,,,,http://www.redfin.com/DC/Washington/519-Tennessee-Ave-NE-20002/home/9916212,,,N,Y,38.8965778,-76.9841935
PAST SALE,July-27-2017,Townhouse,3931 Clay Pl NE,Washington,DC,20019,250000,3,1.5,Deanwood,1216,3953,1947,83,206,,Sold,,,http://www.redfin.com/DC/Washington/3931-Clay-Pl-NE-20019/home/10119112,MRIS,DC9971612,N,Y,38.8926292,-76.949541
PAST SALE,August-4-2017,Townhouse,1348 C St NE,Washington,DC,20002,575000,3,1.5,Old City #1,1048,600,1912,75,549,,Sold,,,http://www.redfin.com/DC/Washington/1348-C-St-NE-20002/home/9913409,MRIS,DC9952817,N,Y,38.8937459,-76.9863591
PAST SALE,,Townhouse,127 Danbury St SW,Washington,DC,20032,290000,2,2.5,,1152,640,2006,,252,,,,,http://www.redfin.com/DC/Washington/127-Danbury-St-SW-20032/home/21647368,,,N,Y,38.828076,-77.010771
PAST SALE,September-25-2017,Townhouse,7529 9th St NW,Washington,DC,20012,485000,3,1.5,Brightwood,1403,2244,1948,23,346,,Sold,,,http://www.redfin.com/DC/Washington/7529-9th-St-NW-20012/home/10037190,MRIS,DC10037040,N,Y,38.9817585,-77.0251857
PAST SALE,September-25-2017,Townhouse,532 Somerset Pl NW,Washington,DC,20011,420000,3,2.0,Brightwood,1052,1419,1925,23,399,,Sold,,,http://www.redfin.com/DC/Washington/532-Somerset-Pl-NW-20011/home/10055099,MRIS,DC10018060,N,Y,38.9665508,-77.0212332
