SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-23-2017,Condo/Co-op,1343 Clifton St NW #102,Washington,DC,20009,517000,2,2.0,Columbia Heights,852,,2010,56,607,257,Sold,,,http://www.redfin.com/DC/Washington/1343-Clifton-St-NW-20009/unit-102/home/40501899,MRIS,DC9989782,N,Y,38.922717,-77.0312818
PAST SALE,July-20-2017,Condo/Co-op,610 Irving St NW #301,Washington,DC,20010,490000,2,2.0,Columbia Heights,865,,1906,90,566,305,Sold,,,http://www.redfin.com/DC/Washington/610-Irving-St-NW-20010/unit-301/home/28486442,MRIS,DC9980415,N,Y,38.9288644,-77.0214009
PAST SALE,July-27-2017,Condo/Co-op,1438 Meridian Pl NW Unit LL06,Washington,DC,20010,295000,2,1.0,Columbia Heights,650,,1910,83,454,300,Sold,,,http://www.redfin.com/DC/Washington/1438-Meridian-Pl-NW-20010/unit-LL06/home/114979356,MRIS,DC9968204,N,Y,38.9334207,-77.0346321
PAST SALE,July-28-2017,Condo/Co-op,2725 Connecticut Ave NW #302,Washington,DC,20008,549777,2,2.0,Woodley Park,945,,1989,82,582,672,Sold,,,http://www.redfin.com/DC/Washington/2725-Connecticut-Ave-NW-20008/unit-302/home/9989457,MRIS,DC9983141,N,Y,38.9263787,-77.0527254
PAST SALE,August-25-2017,Condo/Co-op,1080 Wisconsin Ave NW #2005,Washington,DC,20007,695000,2,2.0,Georgetown,1225,,1981,54,567,1020,Sold,,,http://www.redfin.com/DC/Washington/1080-Wisconsin-Ave-NW-20007/unit-2005/home/9924888,MRIS,DC9971889,N,Y,38.9046353,-77.0631079
PAST SALE,,Condo/Co-op,7915 Eastern Ave Apt 910,Silver Spring,MD,20910,345000,,,,1062,,2006,,325,,,,,http://www.redfin.com/MD/Silver-Spring/7915-Eastern-Ave-20910/unit-910/home/11210670,,,N,Y,38.986447,-77.0289335
PAST SALE,,Condo/Co-op,233 S St NE Apt 1,Washington,DC,20002,595000,2,2.5,,1188,,2015,,501,,,,,http://www.redfin.com/DC/Washington/233-S-St-NE-20002/unit-1/home/77306103,,,N,Y,38.9138583,-77.0023204
PAST SALE,August-17-2017,Condo/Co-op,1612 Q St NW #6,Washington,DC,20009,560000,2,1.0,Dupont,955,,1981,62,586,325,Sold,,,http://www.redfin.com/DC/Washington/1612-Q-St-NW-20009/unit-6/home/9866574,MRIS,DC9966565,N,Y,38.9109385,-77.0377009
PAST SALE,July-20-2017,Condo/Co-op,631 D St NW #726,Washington,DC,20004,580000,2,1.0,Central,1140,,2004,90,509,684,Sold,,,http://www.redfin.com/DC/Washington/631-D-St-NW-20004/unit-726/home/10342625,MRIS,DC9983926,N,Y,38.8953272,-77.0210685
PAST SALE,August-16-2017,Condo/Co-op,1311 Delaware Ave SW Unit S526,Washington,DC,20024,305000,2,2.0,Rla (sw),850,,1962,63,359,985,Sold,,,http://www.redfin.com/DC/Washington/1311-Delaware-Ave-SW-20024/unit-S526/home/113968991,MRIS,DC9949109,N,Y,38.8739553,-77.0155098
PAST SALE,,Condo/Co-op,1712 W St SE Apt 23,Washington,DC,20020,203542,2,2.0,,920,,1941,,221,,,,,http://www.redfin.com/DC/Washington/1712-W-St-SE-20020/unit-23/home/107587336,,,N,Y,38.863266,-76.979994
PAST SALE,August-11-2017,Condo/Co-op,315 12th St NE #203,Washington,DC,20002,600000,2,2.0,Capitol Hill,1071,,1927,68,560,362,Sold,,,http://www.redfin.com/DC/Washington/315-12th-St-NE-20002/unit-203/home/11747092,MRIS,DC9937226,N,Y,38.8941173,-76.9898084
PAST SALE,August-4-2017,Condo/Co-op,1716 West Virginia Ave NE #101,Washington,DC,20002,289900,2,2.0,Brentwood,700,,1931,75,414,280,Sold,,,http://www.redfin.com/DC/Washington/1716-W-Virginia-Ave-NE-20002/unit-101/home/21644070,MRIS,DC9980917,N,Y,38.9102146,-76.9864318
PAST SALE,August-24-2017,Condo/Co-op,1912 3rd St NE #6,Washington,DC,20002,599900,2,2.0,Eckington,1000,,2017,55,600,178,Sold,,,http://www.redfin.com/DC/Washington/1912-3rd-St-NE-20002/unit-6/home/142655174,MRIS,DC10006165,N,Y,38.9160771,-77.0024126
PAST SALE,August-11-2017,Condo/Co-op,1350 Maryland Ave NE #501,Washington,DC,20002,525000,2,1.0,The Maryland,810,,2015,68,648,454,Sold,,,http://www.redfin.com/DC/Washington/1350-Maryland-Ave-NE-20002/unit-501/home/103972001,MRIS,DC9995836,N,Y,38.899371,-76.9858258
PAST SALE,July-28-2017,Condo/Co-op,219 T St NE #404,Washington,DC,20002,350000,2,1.0,Eckington,674,,1913,82,519,255,Sold,,,http://www.redfin.com/DC/Washington/219-T-St-NE-20002/unit-404/home/21476104,MRIS,DC9940185,N,Y,38.915307,-77.002686
PAST SALE,August-25-2017,Condo/Co-op,4308 Georgia Ave NW #401,Washington,DC,20011,564000,2,2.0,Petworth,976,,2017,54,578,408,Sold,,,http://www.redfin.com/DC/Washington/4308-Georgia-Ave-NW-20011/unit-401/home/113384688,MRIS,DC9982686,N,Y,38.9433074,-77.0262087
PAST SALE,August-28-2017,Condo/Co-op,1010 Massachusetts Ave NW #606,Washington,DC,20001,712500,2,2.0,Logan Circle,1050,,2007,51,679,602,Sold,,,http://www.redfin.com/DC/Washington/1010-Massachusetts-Ave-NW-20001/unit-606/home/12533404,MRIS,DC10003794,N,Y,38.9033359,-77.0266747
PAST SALE,,Condo/Co-op,925 H St NW Apt 502,Washington,DC,20001,1325000,2,2.0,,1191,,2013,,1113,,,,,http://www.redfin.com/DC/Washington/925-H-St-NW-20001/unit-502/home/55187171,,,N,Y,38.9001001,-77.0244546
PAST SALE,,Condo/Co-op,1603 Isherwood St NE #102,Washington,DC,20002,210000,2,1.0,,605,,1932,,347,,,,,http://www.redfin.com/DC/Washington/1603-Isherwood-St-NE-20002/unit-102/home/10195935,,,N,Y,38.8952742,-76.9819204
PAST SALE,August-30-2017,Condo/Co-op,2850 Hartford St SE #202,Washington,DC,20020,90000,2,1.0,Randle Heights,795,,1952,49,113,271,Sold,,,http://www.redfin.com/DC/Washington/2850-Hartford-St-SE-20020/unit-202/home/11749008,MRIS,DC9902174,N,Y,38.8544777,-76.9665094
PAST SALE,,Condo/Co-op,4215 Gault Pl NE,Washington,DC,20019,175000,2,2.0,,810,,1952,,216,,,,,http://www.redfin.com/DC/Washington/4215-Gault-Pl-NE-20019/home/10121171,,,N,Y,38.8989238,-76.9420508
PAST SALE,August-15-2017,Condo/Co-op,5109 2nd St NW #1,Washington,DC,20011,361500,2,1.5,Petworth,777,,1937,64,465,191,Sold,,,http://www.redfin.com/DC/Washington/5109-2nd-St-NW-20011/unit-1/home/122183938,MRIS,DC9976023,N,Y,38.9526476,-77.0132256
PAST SALE,August-25-2017,Condo/Co-op,804 Taylor St NW #204,Washington,DC,20011,415000,2,1.0,Petworth,737,,1957,54,563,266,Sold,,,http://www.redfin.com/DC/Washington/804-Taylor-St-NW-20011/unit-204/home/39956270,MRIS,DC9844720,N,Y,38.9405644,-77.0238822
PAST SALE,August-11-2017,Condo/Co-op,5109 2nd St NW #2,Washington,DC,20011,362500,2,1.5,Petworth,777,,1937,68,467,191,Sold,,,http://www.redfin.com/DC/Washington/5109-2nd-St-NW-20011/unit-2/home/143303050,MRIS,DC10032917,N,Y,38.9526476,-77.0132256
PAST SALE,August-18-2017,Condo/Co-op,608 Jefferson St NW #102,Washington,DC,20011,270000,2,1.0,Petworth,693,,1957,61,390,268,Sold,,,http://www.redfin.com/DC/Washington/608-Jefferson-St-NW-20011/unit-102/home/12530496,MRIS,DC9972365,N,Y,38.9552118,-77.02103
PAST SALE,August-8-2017,Condo/Co-op,1616 11th St NW #304,Washington,DC,20001,743000,2,2.0,Logan Circle,950,,2008,71,782,450,Sold,,,http://www.redfin.com/DC/Washington/1616-11th-St-NW-20001/unit-304/home/23062860,MRIS,DC9992384,N,Y,38.9116268,-77.0273328
PAST SALE,,Condo/Co-op,1020 Monroe St NW Apt 401,Washington,DC,20010,520000,2,1.5,,850,,1927,,612,,,,,http://www.redfin.com/DC/Washington/1020-Monroe-St-NW-20010/unit-401/home/40501874,,,N,Y,38.932635,-77.028128
PAST SALE,,Condo/Co-op,1117 10th St NW Apt 603,Washington,DC,20001,600000,1,2.0,,948,,2006,,633,,,,,http://www.redfin.com/DC/Washington/1117-10th-St-NW-20001/unit-603/home/11746645,,,N,Y,38.904518,-77.0256633
PAST SALE,August-23-2017,Condo/Co-op,661 Morris Pl NE #1,Washington,DC,20002,401500,2,1.0,Old City #1,656,,1936,56,612,266,Sold,,,http://www.redfin.com/DC/Washington/661-Morris-Pl-NE-20002/unit-1/home/9898684,MRIS,DC10011415,N,Y,38.8979401,-76.9966464
PAST SALE,,Condo/Co-op,1110 Savannah St SE Apt 31,Washington,DC,20032,220000,2,1.0,,857,,1949,,257,,,,,http://www.redfin.com/DC/Washington/1110-Savannah-St-SE-20032/unit-31/home/39956256,,,N,Y,38.843136,-76.990883
PAST SALE,July-31-2017,Condo/Co-op,700 7th St SW #606,Washington,DC,20024,390000,2,1.0,Rla (sw),990,,1967,79,394,1065,Sold,,,http://www.redfin.com/DC/Washington/700-7th-St-SW-20024/unit-606/home/10177143,MRIS,DC9958342,N,Y,38.8802669,-77.0215353
PAST SALE,August-2-2017,Condo/Co-op,2605 Douglass Rd SE #302,Washington,DC,20020,162225,2,2.0,Barry Farms,925,,2003,77,175,514,Sold,,,http://www.redfin.com/DC/Washington/2605-Douglass-Rd-SE-20020/unit-302/home/113117855,MRIS,DC9866179,N,Y,38.8564659,-76.9892039
PAST SALE,August-8-2017,Condo/Co-op,5 Brandywine St SE Unit B-35,Washington,DC,20032,37800,2,1.0,Congress Heights,660,,1947,71,57,547,Sold,,,http://www.redfin.com/DC/Washington/5-Brandywine-St-SE-20032/unit-B-35/home/104521934,MRIS,DC9631383,N,Y,38.8300039,-77.0068633
PAST SALE,,Condo/Co-op,1111 19th St N Apt 2008,Arlington,VA,22209,837400,2,2.0,,1175,,2008,,713,,,,,http://www.redfin.com/VA/Arlington/1111-19th-St-N-22209/unit-2008/home/16898366,,,N,Y,38.897304,-77.069227
PAST SALE,October-10-2017,Condo/Co-op,3883 Connecticut Ave NW #314,Washington,DC,20008,485000,2,1.0,Cleveland Park,938,,2002,8,517,706,Sold,,,http://www.redfin.com/DC/Washington/3883-Connecticut-Ave-NW-20008/unit-314/home/10194484,MRIS,DC9931549,N,Y,38.9400892,-77.0599929
PAST SALE,October-6-2017,Condo/Co-op,1032 Otis St NE #302,Washington,DC,20017,610000,2,2.0,Brookland,1000,,2017,12,610,199,Sold,,,http://www.redfin.com/DC/Washington/1032-Otis-St-NE-20017/unit-302/home/113988466,MRIS,DC10051767,N,Y,38.9346645,-76.991761
PAST SALE,October-10-2017,Condo/Co-op,2909 17th St NE #202,Washington,DC,20018,459900,2,2.0,Brookland,952,,2017,8,483,100,Sold,,,http://www.redfin.com/DC/Washington/2909-17th-St-NE-20018/unit-202/home/143107948,MRIS,DC10024554,N,Y,38.9276334,-76.9804154
PAST SALE,September-26-2017,Condo/Co-op,2320 Chester St SE #102,Washington,DC,20020,67725,2,1.0,Anacostia,697,,1968,22,97,1200,Sold,,,http://www.redfin.com/DC/Washington/2320-Chester-St-SE-20020/unit-102/home/21647580,MRIS,DC10013081,N,Y,38.8622574,-76.9879311
PAST SALE,September-28-2017,Condo/Co-op,1343 Bryant St NE #4,Washington,DC,20018,317000,2,1.0,Brentwood,725,,1941,20,437,195,Sold,,,http://www.redfin.com/DC/Washington/1343-Bryant-St-NE-20018/unit-4/home/113114834,MRIS,DC9865486,N,Y,38.9208793,-76.9870342
PAST SALE,September-29-2017,Condo/Co-op,1519 Park Rd NW Unit B5,Washington,DC,20010,365976,2,1.5,Columbia Heights,1029,,1905,19,356,340,Sold,,,http://www.redfin.com/DC/Washington/1519-Park-Rd-NW-20010/unit-B5/home/23062130,MRIS,DC9970621,N,Y,38.931557,-77.035486
PAST SALE,October-6-2017,Condo/Co-op,2432 Ontario Rd NW #1,Washington,DC,20009,535000,2,2.0,Adams Morgan,910,,1910,12,588,300,Sold,,,http://www.redfin.com/DC/Washington/2432-Ontario-Rd-NW-20009/unit-1/home/10187837,MRIS,DC9995539,N,Y,38.9216079,-77.0403707
PAST SALE,October-13-2017,Condo/Co-op,1230 Holbrook Ter NE #104,Washington,DC,20002,300000,2,1.0,Trinidad,730,,1940,5,411,351,Sold,,,http://www.redfin.com/DC/Washington/1230-Holbrook-Ter-NE-20002/unit-104/home/12530267,MRIS,DC10052754,N,Y,38.9073888,-76.9856096
PAST SALE,September-8-2017,Condo/Co-op,1111 19th St N #2001,Arlington,VA,22209,762000,2,2.0,Waterview,947,,2008,40,805,725,Sold,,,http://www.redfin.com/VA/Arlington/1111-19th-St-N-22209/unit-2001/home/16898372,MRIS,AR9996535,N,Y,38.897304,-77.069227
PAST SALE,September-25-2017,Condo/Co-op,3110 Wisconsin Ave NW #703,Washington,DC,20016,530000,2,2.0,Cleveland Park,980,,1934,23,541,780,Sold,,,http://www.redfin.com/DC/Washington/3110-Wisconsin-Ave-NW-20016/unit-703/home/9973878,MRIS,DC10072392,N,Y,38.9307963,-77.0732153
PAST SALE,October-5-2017,Condo/Co-op,1245 4th St SW Unit E-607,Washington,DC,20024,332950,2,1.0,Rla (sw),807,,1964,13,413,963,Sold,,,http://www.redfin.com/DC/Washington/1245-4th-St-SW-20024/unit-E-607/home/143008581,MRIS,DC10015676,N,Y,38.8753748,-77.0181022
PAST SALE,October-4-2017,Condo/Co-op,1150 K St NW #910,Washington,DC,20005,630000,2,2.0,Central,988,,2005,14,638,590,Sold,,,http://www.redfin.com/DC/Washington/1150-K-St-NW-20005/unit-910/home/10347600,MRIS,DC10033316,N,Y,38.9021883,-77.0277361
PAST SALE,October-5-2017,Condo/Co-op,1933 18th St NW #303,Washington,DC,20009,594000,2,2.0,Dupont Circle,834,,1910,13,712,443,Sold,,,http://www.redfin.com/DC/Washington/1933-18th-St-NW-20009/unit-303/home/9858260,MRIS,DC10043643,N,Y,38.9165229,-77.0413572
PAST SALE,October-6-2017,Condo/Co-op,911 2nd St NE #503,Washington,DC,20002,850000,2,2.0,Noma,1163,,2017,12,731,434,Sold,,,http://www.redfin.com/DC/Washington/911-2nd-St-NE-20002/unit-503/home/114432553,MRIS,DC10044763,N,Y,38.901774,-77.0033115
PAST SALE,October-6-2017,Condo/Co-op,1801 Calvert St NW #307,Washington,DC,20009,510000,2,2.0,Mount Pleasant,872,,1911,12,585,503,Sold,,,http://www.redfin.com/DC/Washington/1801-Calvert-St-NW-20009/unit-307/home/143309832,MRIS,DC10051870,N,Y,38.9235083,-77.0441788
PAST SALE,October-6-2017,Condo/Co-op,1445 N St NW #106,Washington,DC,20005,529000,2,2.0,Logan,817,,1928,12,647,299,Sold,,,http://www.redfin.com/DC/Washington/1445-N-St-NW-20005/unit-106/home/9870432,MRIS,DC10057397,N,Y,38.9074749,-77.0336925
PAST SALE,October-10-2017,Condo/Co-op,919 Florida Ave NW #105,Washington,DC,20001,549900,2,2.0,Columbia Heights,791,,2005,8,695,423,Sold,,,http://www.redfin.com/DC/Washington/919-Florida-Ave-NW-20001/unit-105/home/21644165,MRIS,DC9972624,N,Y,38.918632,-77.024246
PAST SALE,October-10-2017,Condo/Co-op,4200 Cathedral Ave NW #210,Washington,DC,20016,270000,2,1.0,Wesley Heights,938,,1957,8,288,865,Sold,,,http://www.redfin.com/DC/Washington/4200-Cathedral-Ave-NW-20016/unit-210/home/9958064,MRIS,DC10029758,N,Y,38.9296124,-77.0828221
PAST SALE,October-13-2017,Condo/Co-op,2032 16th St NW #5,Washington,DC,20009,622000,2,2.0,Dupont,917,,1938,5,678,450,Sold,,,http://www.redfin.com/DC/Washington/2032-16th-St-NW-20009/unit-5/home/9864969,MRIS,DC10049357,N,Y,38.9179084,-77.0365035
PAST SALE,October-13-2017,Condo/Co-op,811 4th St NW #102,Washington,DC,20001,539000,2,2.0,Chinatown,977,,2007,5,552,576,Sold,,,http://www.redfin.com/DC/Washington/811-4th-St-NW-20001/unit-102/home/12532628,MRIS,DC10056671,N,Y,38.9009511,-77.0157111
PAST SALE,October-13-2017,Condo/Co-op,437 New York Ave NW #1110,Washington,DC,20001,715000,2,2.0,Old City #2,1071,,2008,5,668,758,Sold,,,http://www.redfin.com/DC/Washington/437-New-York-Ave-NW-20001/unit-1110/home/23058918,MRIS,DC10053061,N,Y,38.9050314,-77.0168353
PAST SALE,October-2-2017,Condo/Co-op,1613 Harvard St NW #216,Washington,DC,20009,589000,2,1.0,Mount Pleasant,1080,,1923,16,545,508,Sold,,,http://www.redfin.com/DC/Washington/1613-Harvard-St-NW-20009/unit-216/home/28659854,MRIS,DC10023868,N,Y,38.9273292,-77.0372803
PAST SALE,September-29-2017,Condo/Co-op,3205 12th St NE #101,Washington,DC,20017,490000,2,2.5,Brookland,916,,2016,19,535,223,Sold,,,http://www.redfin.com/DC/Washington/3205-12th-St-NE-20017/unit-101/home/102010891,MRIS,DC10029376,N,Y,38.9297686,-76.9907763
PAST SALE,August-31-2017,Condo/Co-op,2107 S St NW Unit J,Washington,DC,20008,710000,2,1.0,Kalorama,986,,1904,48,720,336,Sold,,,http://www.redfin.com/DC/Washington/2107-S-St-NW-20008/unit-J/home/142997168,MRIS,DC10014727,N,Y,38.9142829,-77.0468857
PAST SALE,,Condo/Co-op,1706 W Virginia Ave NE Apt 1,Washington,DC,20002,200000,1,1.0,,699,,1931,,286,,,,,http://www.redfin.com/DC/Washington/1706-W-Virginia-Ave-NE-20002/unit-1/home/12530285,,,N,Y,38.9098856,-76.9868123
PAST SALE,September-5-2017,Condo/Co-op,1407 W St NW #201,Washington,DC,20009,733000,2,2.0,Old City #2,1011,,2007,43,725,311,Sold,,,http://www.redfin.com/DC/Washington/1407-W-St-NW-20009/unit-201/home/21646076,MRIS,DC10021801,N,Y,38.9193675,-77.0326662
PAST SALE,,Condo/Co-op,2725 Connecticut Ave NW Apt 309,Washington,DC,20008,571500,2,2.0,,1065,,1989,,537,,,,,http://www.redfin.com/DC/Washington/2725-Connecticut-Ave-NW-20008/unit-309/home/9989475,,,N,Y,38.9263787,-77.0527254
PAST SALE,September-29-2017,Condo/Co-op,3900 Watson Pl NW Unit B-1E,Washington,DC,20016,430000,2,2.0,Observatory Circle,1250,,1960,19,344,1469,Sold,,,http://www.redfin.com/DC/Washington/3900-Watson-Pl-NW-20016/unit-B-1E/home/40196018,MRIS,DC9961121,N,Y,38.92809,-77.078147
PAST SALE,,Condo/Co-op,1342 Massachusetts Ave SE Unit C,Washington,DC,20003,634500,2,2.0,,939,,1908,,676,,,,,http://www.redfin.com/DC/Washington/1342-Massachusetts-Ave-SE-20003/unit-C/home/40501611,,,N,Y,38.8884066,-76.9859699
PAST SALE,October-2-2017,Condo/Co-op,1343 Bryant St NE #3,Washington,DC,20018,319000,2,1.0,Brentwood,725,,1941,16,440,195,Sold,,,http://www.redfin.com/DC/Washington/1343-Bryant-St-NE-20018/unit-3/home/143512605,MRIS,DC10043821,N,Y,38.9208793,-76.9870342
