SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-25-2017,Townhouse,1713 S St NW #2,Washington,DC,20009,469000,1,1.0,Dupont Circle,,,2017,54,,170,Sold,,,http://www.redfin.com/DC/Washington/1713-S-St-NW-20009/unit-2/home/142044399,MRIS,DC9998825,N,Y,38.9142823,-77.039886
PAST SALE,August-24-2017,Townhouse,300 Oklahoma Ave NE #202,Washington,DC,20002,282000,1,1.0,Old City #1,520,,1930,55,542,230,Sold,,,http://www.redfin.com/DC/Washington/300-Oklahoma-Ave-NE-20002/unit-202/home/11745385,MRIS,DC9920052,N,Y,38.8953186,-76.9737168
PAST SALE,August-7-2017,Townhouse,2615 4th St NE #302,Washington,DC,20002,245874,1,1.0,Brookland,646,,1940,72,381,298,Sold,,,http://www.redfin.com/DC/Washington/2615-4th-St-NE-20002/unit-302/home/11748522,MRIS,DC9967504,N,Y,38.9240088,-77.0002185
PAST SALE,August-18-2017,Townhouse,2013 Benning Rd NE,Washington,DC,20002,631000,1,1.5,Old City #1,,1889,1927,61,,,Sold,,,http://www.redfin.com/DC/Washington/2013-Benning-Rd-NE-20002/home/108560130,MRIS,DC9739307,N,Y,38.8984262,-76.975028
PAST SALE,August-9-2017,Townhouse,1418 11th St NW #3,Washington,DC,20001,501000,1,1.5,Logan Circle/shaw,820,,1900,70,611,163,Sold,,,http://www.redfin.com/DC/Washington/1418-11th-St-NW-20001/unit-3/home/10192674,MRIS,DC9997793,N,Y,38.9092486,-77.0273989
PAST SALE,August-14-2017,Single Family Residential,723 Varnum St NW,Washington,DC,20011,525000,1,1.0,Petworth,1586,2850,1920,65,331,,Sold,,,http://www.redfin.com/DC/Washington/723-Varnum-St-NW-20011/home/10051259,MRIS,DC10031440,N,Y,38.9432163,-77.0227439
PAST SALE,August-14-2017,Townhouse,1401 Church St NW #126,Washington,DC,20005,760000,1,2.0,Logan Circle,980,,2005,65,776,527,Sold,,,http://www.redfin.com/DC/Washington/1401-Church-St-NW-20005/unit-126/home/10191967,MRIS,DC10004610,N,Y,38.9105771,-77.03286
PAST SALE,August-18-2017,Townhouse,732 15th St SE #3,Washington,DC,20003,499000,1,1.0,Old City #1,714,,1926,61,699,252,Sold,,,http://www.redfin.com/DC/Washington/732-15th-St-SE-20003/unit-3/home/62523616,MRIS,DC9972248,N,Y,38.8800454,-76.9834989
PAST SALE,,Townhouse,2119 N St NW #214,Washington,DC,20037,339900,1,1.0,,431,228,1900,,789,,,,,http://www.redfin.com/DC/Washington/2119-N-St-NW-20037/unit-214/home/9051942,,,N,Y,38.9074465,-77.0476565
PAST SALE,July-21-2017,Townhouse,3819 V St SE #3819,Washington,DC,20020,82000,1,1.0,Hill Crest,750,,1940,89,109,334,Sold,,,http://www.redfin.com/DC/Washington/3819-V-St-SE-20020/unit-3819/home/129397880,MRIS,DC9984131,N,Y,38.8641528,-76.9518663
PAST SALE,,Townhouse,15 Hawthorne Ct NE,Washington,DC,20017,250500,1,1.0,,602,886,1987,,416,,,,,http://www.redfin.com/DC/Washington/15-Hawthorne-Ct-NE-20017/home/10071001,,,N,Y,38.9280336,-77.0084654
PAST SALE,October-3-2017,Townhouse,1104 Euclid St NW #2,Washington,DC,20009,379900,1,1.0,Columbia Heights,822,,1910,15,462,150,Sold,,,http://www.redfin.com/DC/Washington/1104-Euclid-St-NW-20009/unit-2/home/143308040,MRIS,DC10032989,N,Y,38.9236093,-77.0273548
PAST SALE,August-23-2017,Townhouse,1715 15th St NW #39,Washington,DC,20009,519900,1,1.0,Logan,770,,1929,56,675,342,Sold,,,http://www.redfin.com/DC/Washington/1715-15th-St-NW-20009/unit-39/home/9869821,MRIS,DC9951683,N,Y,38.913249,-77.0339606
PAST SALE,October-2-2017,Townhouse,1420 North Capitol St NW,Washington,DC,20002,990000,1,1.0,Old City #2,3750,2000,1900,16,264,,Sold,,,http://www.redfin.com/DC/Washington/1420-N-Capitol-St-NW-20002/home/112967144,MRIS,DC9880288,N,Y,38.9092547,-77.0094065
PAST SALE,September-29-2017,Townhouse,2 Library Ct SE,Washington,DC,20003,566000,1,1.0,Capitol Hill,728,521,1900,19,777,,Sold,,,http://www.redfin.com/DC/Washington/2-Library-Ct-SE-20003/home/9894134,MRIS,DC10045541,N,Y,38.888046,-77.001403
PAST SALE,August-15-2017,Townhouse,3924 W St NW #3,Washington,DC,20007,430000,1,1.0,Glover Park,603,,1938,64,713,162,Sold,,,http://www.redfin.com/DC/Washington/3924-W-St-NW-20007/unit-3/home/124402792,MRIS,DC9979082,N,Y,38.9189577,-77.0780636
PAST SALE,August-28-2017,Townhouse,1728 U St NW #4,Washington,DC,20009,628000,1,1.0,Old City #2,795,,1905,51,790,193,Sold,,,http://www.redfin.com/DC/Washington/1728-U-St-NW-20009/unit-4/home/140524244,MRIS,DC9998531,N,Y,38.916733,-77.039668
PAST SALE,August-18-2017,Townhouse,1830 Jefferson Pl NW #7,Washington,DC,20036,675000,1,2.0,Central,894,,2006,61,755,487,Sold,,,http://www.redfin.com/DC/Washington/1830-Jefferson-Pl-NW-20036/unit-7/home/12534354,MRIS,DC10015568,N,Y,38.9062584,-77.0429401
PAST SALE,August-18-2017,Townhouse,5201-B Wisconsin Ave NW #303,Washington,DC,20015,395000,1,1.0,Chevy Chase,700,,2010,61,564,367,Sold,,,http://www.redfin.com/DC/Washington/5201-Wisconsin-Ave-20015/unit-303/home/28923803,MRIS,DC9910677,N,Y,38.9572487,-77.0836307
PAST SALE,,Townhouse,2026 Fort Davis St SE Apt 202,Washington,DC,20020,65000,1,1.0,,623,1197,1940,,104,,,,,http://www.redfin.com/DC/Washington/2026-Fort-Davis-St-SE-20020/unit-202/home/10154356,,,N,Y,38.8637038,-76.9500015
PAST SALE,,Condo/Co-op,1688 Euclid St NW Apt A,Washington,DC,20009,370000,1,1.0,,650,,1980,,569,,,,,http://www.redfin.com/DC/Washington/1688-Euclid-St-NW-20009/unit-A/home/10005958,,,N,Y,38.9231624,-77.0387768
PAST SALE,September-26-2017,Townhouse,27 Quincy Pl NE #2,Washington,DC,20002,499000,1,1.0,Eckington,825,,1905,22,605,260,Sold,,,http://www.redfin.com/DC/Washington/27-Quincy-Pl-NE-20002/unit-2/home/143182304,MRIS,DC10027920,N,Y,38.91166,-77.007811
PAST SALE,July-25-2017,Townhouse,2413 20th St NW #4,Washington,DC,20009,553000,1,1.5,Kalorama Place,955,,1995,85,579,347,Sold,,,http://www.redfin.com/DC/Washington/2413-20th-St-NW-20009/unit-4/home/122698963,MRIS,DC9977081,N,Y,38.9214201,-77.0466898
PAST SALE,July-28-2017,Townhouse,2119 N St NW #5,Washington,DC,20037,339900,1,1.0,Dupont Circle,500,,1900,82,680,180,Sold,,,http://www.redfin.com/DC/Washington/2119-N-St-NW-20037/unit-5/home/81888889,MRIS,DC9956795,N,Y,38.9074466,-77.0476565
PAST SALE,,Townhouse,87 Hawthorne Ct NE #87,Washington,DC,20017,230000,1,1.0,,719,919,1982,,320,,,,,http://www.redfin.com/DC/Washington/87-Hawthorne-Ct-NE-20017/unit-87/home/10071153,,,N,Y,38.9280084,-77.0083886
PAST SALE,,Townhouse,88 P St NW,Washington,DC,20001,995000,3,3.5,,2988,1800,1900,,333,,,,,http://www.redfin.com/DC/Washington/88-P-St-NW-20001/home/113723510,,,N,Y,38.9095028,-77.011826
PAST SALE,October-12-2017,Townhouse,1518 Swann St NW #1,Washington,DC,20009,425000,1,1.0,Dupont,620,,1890,6,685,88,Sold,,,http://www.redfin.com/DC/Washington/1518-Swann-St-NW-20009/unit-1/home/9868070,MRIS,DC10047916,N,Y,38.9147524,-77.0354046
PAST SALE,October-16-2017,Townhouse,915 E St NW #507,Washington,DC,20004,399900,1,1.0,Central,700,,2006,2,571,487,Sold,,,http://www.redfin.com/DC/Washington/915-E-St-NW-20004/unit-507/home/21646993,MRIS,DC10057581,N,Y,38.8964898,-77.0250247
PAST SALE,August-15-2017,Townhouse,1326 Vermont Ave NW #5,Washington,DC,20005,419000,1,1.0,Logan,540,,1900,64,776,310,Sold,,,http://www.redfin.com/DC/Washington/1326-Vermont-Ave-NW-20005/unit-5/home/9872587,MRIS,DC9971988,N,Y,38.9083119,-77.030637
PAST SALE,,Multi-Family (2-4 Unit),621 S Carolina Ave SE,Washington,DC,20003,862000,1,1.5,,1152,1170,1900,,748,,,,,http://www.redfin.com/DC/Washington/621-S-Carolina-Ave-SE-20003/home/9900448,,,N,Y,38.8831758,-76.9976146
PAST SALE,August-30-2017,Townhouse,2407 20th St NW #1098,Washington,DC,20009,540000,1,1.5,Kalorama,955,,1998,49,565,347,Sold,,,http://www.redfin.com/DC/Washington/2407-20th-St-NW-20009/unit-1098/home/10179049,MRIS,DC9982808,N,Y,38.9209716,-77.0467044
PAST SALE,August-25-2017,Townhouse,1713 S St NW #1,Washington,DC,20009,452500,1,1.0,Dupont Circle,,,2017,54,,187,Sold,,,http://www.redfin.com/DC/Washington/1713-S-St-NW-20009/unit-1/home/142044388,MRIS,DC9998694,N,Y,38.9142823,-77.0398859
PAST SALE,July-28-2017,Townhouse,1308 Bryant St NE #1,Washington,DC,20018,280000,1,1.0,Brentwood,716,,1941,82,391,164,Sold,,,http://www.redfin.com/DC/Washington/1308-Bryant-St-NE-20018/unit-1/home/21646435,MRIS,DC9970571,N,Y,38.921352,-76.9883738
PAST SALE,July-25-2017,Townhouse,15 Hawthorne Ct NE #15,Washington,DC,20017,250500,1,1.0,Brookland,602,,1987,85,416,273,Sold,,,http://www.redfin.com/DC/Washington/15-Hawthorne-Ct-NE-20017/unit-15/home/115443470,MRIS,DC9968191,N,Y,38.9280336,-77.0084654
