SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-1-2017,Condo/Co-op,1000 New Jersey Ave SE #1105,Washington,DC,20003,333100,1,1.0,Old City #1,650,,2006,47,512,1187,Sold,,,http://www.redfin.com/DC/Washington/1000-New-Jersey-Ave-SE-20003/unit-1105/home/142138130,MRIS,DC10002451,N,Y,38.8780119,-77.0042672
PAST SALE,July-28-2017,Condo/Co-op,777 7th St NW #915,Washington,DC,20001,395000,1,1.0,Gallery Place,683,,2005,82,578,605,Sold,,,http://www.redfin.com/DC/Washington/777-7th-St-NW-20001/unit-915/home/10193222,MRIS,DC9935872,N,Y,38.899494,-77.0217858
PAST SALE,August-25-2017,Condo/Co-op,800 4th St SW Unit N618,Washington,DC,20024,349000,1,1.0,Rla (sw),618,,1959,54,565,363,Sold,,,http://www.redfin.com/DC/Washington/800-4th-St-SW-20024/unit-N618/home/12531815,MRIS,DC10003251,N,Y,38.8802745,-77.0171251
PAST SALE,August-17-2017,Condo/Co-op,2010 Kalorama Rd NW #103,Washington,DC,20009,310000,1,1.0,Dupont,483,,1923,62,642,232,Sold,,,http://www.redfin.com/DC/Washington/2010-Kalorama-Rd-NW-20009/unit-103/home/21699308,MRIS,DC9935849,N,Y,38.9187485,-77.0466558
PAST SALE,October-2-2017,Condo/Co-op,437 New York Ave NW #213,Washington,DC,20001,445000,1,1.0,Old City #2,733,,2008,16,607,473,Sold,,,http://www.redfin.com/DC/Washington/437-New-York-Ave-NW-20001/unit-213/home/21645113,MRIS,DC10033828,N,Y,38.9050314,-77.0168353
PAST SALE,October-6-2017,Condo/Co-op,2630 Adams Mill Rd NW #306,Washington,DC,20009,363000,1,1.0,Mount Pleasant,584,,2003,12,622,279,Sold,,,http://www.redfin.com/DC/Washington/2630-Adams-Mill-Rd-NW-20009/unit-306/home/102182376,MRIS,DC10051476,N,Y,38.9237858,-77.0451096
PAST SALE,July-31-2017,Condo/Co-op,912 Shepherd St NW #303,Washington,DC,20011,335000,1,1.0,Columbia Heights,629,,1940,79,533,264,Sold,,,http://www.redfin.com/DC/Washington/912-Shepherd-St-NW-20011/unit-303/home/21645883,MRIS,DC10019760,N,Y,38.9395532,-77.0256668
PAST SALE,September-22-2017,Condo/Co-op,460 New York Ave NW #204,Washington,DC,20001,447000,1,1.0,Mount Vernon,674,,2015,26,663,431,Sold,,,http://www.redfin.com/DC/Washington/460-New-York-Ave-NW-20001/unit-204/home/113744256,MRIS,DC10003819,N,Y,38.9039077,-77.0181493
PAST SALE,September-22-2017,Condo/Co-op,1314 W St NW Unit C,Washington,DC,20009,365000,1,1.0,Old City #2,445,,1900,26,820,134,Sold,,,http://www.redfin.com/DC/Washington/1314-W-St-NW-20009/home/10192324,MRIS,DC9984402,N,Y,38.9190095,-77.030414
PAST SALE,August-31-2017,Condo/Co-op,732 Lamont St NW #201,Washington,DC,20010,387000,1,1.5,Columbia Heights,683,,2012,48,567,258,Sold,,,http://www.redfin.com/DC/Washington/732-Lamont-St-NW-20010/unit-201/home/40486250,MRIS,DC9950389,N,Y,38.930747,-77.0246535
PAST SALE,September-28-2017,Condo/Co-op,2611 Adams Mill Rd NW #307,Washington,DC,20009,315000,1,1.0,Mount Pleasant,448,,1910,20,703,241,Sold,,,http://www.redfin.com/DC/Washington/2611-Adams-Mill-Rd-NW-20009/unit-307/home/10006713,MRIS,DC10034549,N,Y,38.923836,-77.0438469
PAST SALE,August-22-2017,Condo/Co-op,1354 Kenyon St NW #3,Washington,DC,20010,515000,1,1.5,Columbia Heights,726,,1890,57,709,273,Sold,,,http://www.redfin.com/DC/Washington/1354-Kenyon-St-NW-20010/unit-3/home/10195650,MRIS,DC10008111,N,Y,38.929386,-77.0313175
PAST SALE,July-21-2017,Condo/Co-op,4600 Connecticut Ave NW #828,Washington,DC,20008,258995,1,1.0,Van Ness,578,,1948,89,448,451,Sold,,,http://www.redfin.com/DC/Washington/4600-Connecticut-Ave-NW-20008/unit-828/home/9976678,MRIS,DC9952002,N,Y,38.9502054,-77.0675305
PAST SALE,October-6-2017,Condo/Co-op,3314 Mount Pleasant St NW #41,Washington,DC,20010,339900,1,1.0,Mount Pleasant,604,,1922,12,563,297,Sold,,,http://www.redfin.com/DC/Washington/3314-Mount-Pleasant-St-NW-20010/unit-41/home/11747665,MRIS,DC10056337,N,Y,38.9330101,-77.0402446
PAST SALE,July-24-2017,Condo/Co-op,1441 Rhode Island Ave NW #706,Washington,DC,20005,503500,1,1.0,Old City #2,675,,2003,86,746,401,Sold,,,http://www.redfin.com/DC/Washington/1441-Rhode-Island-Ave-NW-20005/unit-706/home/21647805,MRIS,DC9970618,N,Y,38.9085968,-77.0337573
PAST SALE,September-1-2017,Condo/Co-op,1300 N St NW #517,Washington,DC,20005,455000,1,1.0,Old City #2,649,,2004,47,701,402,Sold,,,http://www.redfin.com/DC/Washington/1300-N-St-NW-20005/unit-517/home/10341780,MRIS,DC9996784,N,Y,38.9069228,-77.0300516
PAST SALE,July-21-2017,Condo/Co-op,1514 17th St NW #310,Washington,DC,20036,407000,1,1.0,Old City #2,739,,1917,89,551,664,Sold,,,http://www.redfin.com/DC/Washington/1514-17th-St-NW-20036/unit-310/home/39991283,MRIS,DC9951345,N,Y,38.9101976,-77.0389905
PAST SALE,August-23-2017,Condo/Co-op,440 L St NW #202,Washington,DC,20001,446000,1,1.0,Old City #2,676,,2007,56,660,456,Sold,,,http://www.redfin.com/DC/Washington/440-L-St-NW-20001/unit-202/home/12533555,MRIS,DC9973029,N,Y,38.9033883,-77.0174322
