"","SALE.TYPE","SOLD.DATE","PROPERTY.TYPE","ADDRESS","CITY","STATE","ZIP","PRICE","BEDS","BATHS","LOCATION","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","DAYS.ON.MARKET","X..SQUARE.FEET","HOA.MONTH","URL..SEE.http...www.redfin.com.buy.a.home.comparative.market.analysis.FOR.INFO.ON.PRICING.","SOURCE","MLS.","LATITUDE","LONGITUDE","dist"
"2045","PAST SALE",2017-08-13,"Townhouse","1334 Queen St NE","Washington","DC",20002,615000,3,2.5,"Trinidad",1728,1818,1937,67,356,NA,"http://www.redfin.com/DC/Washington/1334-Queen-St-NE-20002/home/10175112","MRIS","DC9993617",38.9055215,-76.98304,1.09725889267849
"2046","PAST SALE",2017-08-11,"Townhouse","904 Jackson St NE","Washington","DC",20017,616000,3,2,"Brookland",1581,2500,1927,69,390,NA,"http://www.redfin.com/DC/Washington/904-Jackson-St-NE-20017/home/10086601","MRIS","DC9995349",38.929707,-76.993305,0.293616214858264
"2047","PAST SALE",2017-08-15,"Townhouse","717 3rd St NE","Washington","DC",20002,945000,3,2.5,"Old City #1",1560,1155,1908,65,606,NA,"http://www.redfin.com/DC/Washington/717-3rd-St-NE-20002/home/9892577","MRIS","DC9980082",38.8993823,-77.0018022,0.284266804833444
"2048","PAST SALE",2017-08-11,"Townhouse","928 4th St SE","Washington","DC",20003,975000,3,3.5,"Navy Yard",2069,829,2010,69,471,72,"http://www.redfin.com/DC/Washington/928-4th-St-SE-20003/home/39955881","MRIS","DC9964179",38.878789,-77.000027,0.219499967102527
"2049","PAST SALE",2017-09-29,"Townhouse","2302 17th St NW","Washington","DC",20009,1355000,3,3.5,"Adams Morgan",2321,1546,1912,20,584,NA,"http://www.redfin.com/DC/Washington/2302-17th-St-NW-20009/home/10005010","MRIS","DC10024135",38.9203326,-77.0390308,0.588909135568645
"2050","PAST SALE",2017-10-06,"Townhouse","120 N Carolina Ave SE","Washington","DC",20003,912000,3,2,"Capitol Hill",1556,1681,1911,13,586,NA,"http://www.redfin.com/DC/Washington/120-N-Carolina-Ave-SE-20003/home/9890166","MRIS","DC10020864",38.8840996,-77.0050228,0.0960959487848159
"2051","PAST SALE",2017-09-25,"Townhouse","1335 Corcoran St NW","Washington","DC",20009,2010000,3,2.5,"Logan Circle",3040,1800,1890,24,661,NA,"http://www.redfin.com/DC/Washington/1335-Corcoran-St-NW-20009/home/9872008","MRIS","DC10003511",38.912059,-77.031042,0.358633296194171
"2052","PAST SALE",2017-10-06,"Townhouse","5358 Hayes St NE","Washington","DC",20019,215000,3,1.5,"Deanwood",1700,4465,1970,13,126,NA,"http://www.redfin.com/DC/Washington/5358-Hayes-St-NE-20019/home/10128877","MRIS","DC10010757",38.899513,-76.923003,0.86148844433648
"2053","PAST SALE",2017-10-18,"Townhouse","2438 2nd St NE","Washington","DC",20002,545000,3,2.5,"Brookland",1553,871,1923,1,351,NA,"http://www.redfin.com/DC/Washington/2438-2nd-St-NE-20002/home/10073903","MRIS","DC10050042",38.9222248,-77.0037398,0.565751547756651
"2054","PAST SALE",2017-10-18,"Townhouse","1215 Florida Ave NE","Washington","DC",20002,865000,3,3.5,"Old City #1",2141,1207,1916,1,404,NA,"http://www.redfin.com/DC/Washington/1215-Florida-Ave-NE-20002/home/9909623","MRIS","DC10063118",38.902036,-76.98917,0.843471822754988
"2055","PAST SALE",2017-08-15,"Townhouse","450 Eastern Ave NE","Washington","DC",20019,250000,3,2.5,"Eden Place",1500,NA,2016,65,167,150,"http://www.redfin.com/DC/Washington/450-Eastern-Ave-NE-20019/home/113250467","MRIS","DC9877108",38.8950386,-76.9128413,1.09347181127875
"2056","PAST SALE",2017-07-21,"Townhouse","1514 Pennsylvania Ave SE","Washington","DC",20003,818000,3,3.5,"Capitol Hill",1805,1151,1979,90,453,NA,"http://www.redfin.com/DC/Washington/1514-Pennsylvania-Ave-SE-20003/home/9919551","MRIS","DC9971443",38.8796,-76.982911,0.181227765795636
"2057","PAST SALE",2017-07-21,"Townhouse","3232 Warder St NW","Washington","DC",20010,615000,3,2.5,"Columbia Heights",1800,1275,1915,90,342,NA,"http://www.redfin.com/DC/Washington/3232-Warder-St-NW-20010/home/10044080","MRIS","DC9972118",38.9310813,-77.0202907,0.489441586173428
"2058","PAST SALE",NA,"Townhouse","1602 Vermont Ave NW #1","Washington","DC",20009,1350000,NA,NA,"",NA,NA,NA,NA,NA,NA,"http://www.redfin.com/DC/Washington/1602-Vermont-Ave-NW-20009/unit-1/home/113422127","","",38.9113866,-77.0288884,0.350632529357347
"2059","PAST SALE",2017-08-10,"Townhouse","1306 C St NE","Washington","DC",20002,867000,3,3.5,"Capitol Hill",1620,1238,1914,70,535,NA,"http://www.redfin.com/DC/Washington/1306-C-St-NE-20002/home/9913239","MRIS","DC9991267",38.893744,-76.9879138,0.764796918441931
"2060","PAST SALE",2017-07-21,"Townhouse","3479 Summit Ct NE #3479","Washington","DC",20018,278000,3,2,"Fort Lincoln",1699,NA,1978,90,164,375,"http://www.redfin.com/DC/Washington/3479-Summit-Ct-NE-20018/unit-3479/home/10107185","MRIS","DC9715071",38.927782,-76.9591996,1.8725298071659
"2061","PAST SALE",2017-08-15,"Townhouse","811 F St NE","Washington","DC",20002,875000,3,2.5,"Old City #1",2035,1890,1908,65,430,NA,"http://www.redfin.com/DC/Washington/811-F-St-NE-20002/home/9902682","MRIS","DC10055203",38.8971241,-76.9943783,0.675656204562646
"2062","PAST SALE",2017-08-18,"Townhouse","5012 V St NW","Washington","DC",20007,920000,3,2.5,"Palisades",1700,3125,1940,62,541,NA,"http://www.redfin.com/DC/Washington/5012-V-St-NW-20007/home/9940783","MRIS","DC9993672",38.917399,-77.097568,1.9148002142627
"2063","PAST SALE",2017-08-21,"Townhouse","2749 Woodley Pl NW","Washington","DC",20008,1240000,3,2.5,"Woodley Park",2590,1989,1925,59,479,NA,"http://www.redfin.com/DC/Washington/2749-Woodley-Pl-NW-20008/home/9988986","MRIS","DC10004544",38.926752,-77.051831,0.0994945611140353
"2064","PAST SALE",2017-08-11,"Townhouse","632 C St NE","Washington","DC",20002,1150000,3,2.5,"Capitol Hill",2187,1544,1900,69,526,NA,"http://www.redfin.com/DC/Washington/632-C-St-NE-20002/home/9899299","MRIS","DC9996076",38.893822,-76.997114,0.605104012836554
"2065","PAST SALE",2017-07-31,"Townhouse","1727 Seaton St NW","Washington","DC",20009,1037500,3,2.5,"Adams Morgan",1852,1450,1900,80,560,NA,"http://www.redfin.com/DC/Washington/1727-Seaton-St-NW-20009/home/9857142","MRIS","DC9863315",38.917702,-77.039455,0.546289855161604
"2066","PAST SALE",2017-08-21,"Townhouse","1419 S St NW","Washington","DC",20009,1205000,3,2.5,"Old City #2",1610,1800,1864,59,748,NA,"http://www.redfin.com/DC/Washington/1419-S-St-NW-20009/home/9869595","MRIS","DC10022645",38.9143185,-77.0329129,0.281276207342335
"2067","PAST SALE",2017-07-28,"Townhouse","2815 18th St NW","Washington","DC",20009,999000,3,2.5,"Mount Pleasant",2592,2150,1911,83,385,NA,"http://www.redfin.com/DC/Washington/2815-18th-St-NW-20009/home/10006459","MRIS","DC9924280",38.9259013,-77.0413234,0.488263697159709
"2068","PAST SALE",2017-07-21,"Townhouse","4623 Kane Pl NE","Washington","DC",20019,418000,3,2.5,"Deanwood",1976,2866,2017,90,212,NA,"http://www.redfin.com/DC/Washington/4623-Kane-Pl-NE-20019/home/122834484","MRIS","DC9978737",38.9036222,-76.9348305,0.277334481806364
